owner,matchup_id,total_team_points,QB,QB_PTS,RB1,RB1_PTS,RB2,RB2_PTS,WR1,WR1_PTS,WR2,WR2_PTS,TE,TE_PTS,SF,SF_PTS,FLEX,FLEX_PTS,K,K_PTS,DEF,DEF_PTS
JD,1,104.28,Tua Tagovailoa,28.14,Bijan Robinson,17.3,Derrick Henry,12.9,Amari Cooper,5.2,DJ Moore,3.5,Greg Dulcich,3.2,Mike Williams,6.5,9228,9.54,Harrison Butker,8.0,NO,10.0
David,1,110.38,Sam Howell,16.18,Saquon Barkley,7.8,Travis Etienne,18.9,Justin Jefferson,19.5,Ja'Marr Chase,6.6,Gerald Everett,3.3,Dameon Pierce,5.7,8159,8.4,Brandon McManus,8.0,GB,16.0
Johnny,2,119.38,Jared Goff,14.02,Nick Chubb,14.7,Josh Jacobs,8.1,Amon-Ra St. Brown,16.1,Davante Adams,9.6,Tyler Higbee,6.4,Joe Mixon,8.8,4017,21.66,Jason Myers,7.0,WAS,13.0
Andrew,2,148.28,Daniel Jones,6.46,Rhamondre Stevenson,11.9,Aaron Jones,25.7,Tyreek Hill,39.0,A.J. Brown,11.4,Cole Kmet,6.9,Tyler Lockett,2.0,9229,21.92,Cameron Dicker,10.0,SF,13.0
Richard,3,69.44,Joe Burrow,3.18,Kenneth Walker,8.7,Cam Akers,8.9,DK Metcalf,12.2,Terry McLaurin,4.1,George Kittle,3.4,Van Jefferson,4.4,4881,7.56,Justin Tucker,5.0,BAL,12.0
Kai,3,121.28,C.J. Stroud,10.18,Christian McCaffrey,24.4,Najee Harris,4.3,Chris Godwin,7.6,Jahan Dotson,6.5,Darren Waller,5.1,Alexander Mattison,11.9,8138,8.3,Evan McPherson,3.0,DAL,40.0
Kyle,4,120.64,Josh Allen,12.04,Austin Ekeler,24.4,AJ Dillon,4.6,Deebo Samuel,8.8,Mike Evans,15.6,T.J. Hockenson,7.5,Brandin Cooks,3.2,6904,12.5,Jake Elliott,17.0,PHI,15.0
Scott,4,117.58,Russell Wilson,15.18,Breece Hall,15.2,Jahmyr Gibbs,7.0,Garrett Wilson,11.9,Jaylen Waddle,9.8,Mark Andrews,0.0,Brandon Aiyuk,28.9,2028,15.6,Younghoe Koo,7.0,NE,7.0
Peter,5,76.44,Trevor Lawrence,18.74,Javonte Williams,7.7,David Montgomery,13.4,Drake London,0.0,Jordan Addison,14.1,Kyle Pitts,5.4,Zach Charbonnet,1.1,96,0.0,Jake Moody,14.0,MIN,2.0
Dan,5,110.68,Patrick Mahomes,20.54,Raheem Mostert,12.0,Kenneth Gainwell,9.4,CeeDee Lamb,9.7,DeVonta Smith,14.2,Chigoziem Okonkwo,0.0,Darnell Mooney,13.3,7591,15.54,Riley Patterson,3.0,JAX,13.0
Henry,6,108.34,Justin Herbert,20.86,Tony Pollard,21.2,Dalvin Cook,7.4,Stefon Diggs,21.2,Tee Higgins,0.0,David Njoku,3.4,Keenan Allen,11.2,1373,9.08,Tyler Bass,13.0,SEA,1.0
Tom,6,91.48,Dak Prescott,6.32,Rachaad White,5.9,Miles Sanders,9.8,Chris Olave,15.2,Calvin Ridley,20.1,Dallas Goedert,0.0,J.K. Dobbins,10.7,1166,17.46,Daniel Carlson,3.0,DEN,3.0
